link,title
http://www.britishcouncil.in/study-uk/scholarships/charles-wallace-india-trust-scholarships,Charles Wallace India Trust Scholarships
http://www.hw.ac.uk/student-life/scholarships/postgraduate-taught/3380_31303336.htm,Heriot Watt SML International Merit Scholarships for Indian Students
http://www3.imperial.ac.uk/international/prospective/newscholarships/icifscholarships,Imperial College India Foundation Postgraduate Scholarships
http://www.kcl.ac.uk/graduate/funding/database/index.php?action=view&id=540,King’s College London Emerald MSc Studentship
http://www.kcl.ac.uk/aboutkings/worldwide/initiatives/global/indiainstitute/Tagore-Centre/PhD-Studentships.aspx,King’s College London PhD Studentships for Indian Students
http://www.londonmet.ac.uk/international/scholarships-at-london-met/postgraduate-scholarships/mahatma-gandhi-scholarship/,London Metropolitan University Mahatma Gandhi Scholarship for Indians
http://www.lse.ac.uk/intranet/students/moneyMatters/financialSupport/ScholarshipsLSE/MScApp/awards/OverseasMSc/LSEIndiaScholarships.aspx,LSE India Scholarships for Master Students
http://mhrd.gov.in/sites/upload_files/mhrd/files/Agatha2014_15Ext.pdf,Ms. Agatha Harrison Memorial Fellowship at St. Antony’s College
http://www.ncl.ac.uk/students/wellbeing/finance/funding/nonukstudents/scholarships/undergraduate/university.htm,Newcastle University Undergraduate India Scholarships
http://www.oxbridgeindia.com/scholarship.php,Oxford and Cambridge Society of India (OCSI) Scholarships
http://www.lse.ac.uk/asiaResearchCentre/fellowships/sirRatanTata.aspx,Sir Ratan Tata Fellowships for South Asian Students at LSE
http://www.sussex.ac.uk/psychology/pgstudy/scholarships/2014/view/353,Sussex India Scholarships for Master’s Students
http://www.ucd.ie/international/study-at-ucd-global/coming-to-ireland/scholarships-and-funding/gt-scholarships-and-funding/,UCD Global Graduate Scholarships for Indian Students in Ireland
http://www.ucl.ac.uk/prospective-students/scholarships/graduate/UK-EU_Res/glob-exc,UCL Global Excellence Graduate scholarships for International Students
http://www.abdn.ac.uk/study/international/business-scholarships.php#Apply,University of Aberdeen Indian Master Scholarships
http://www.bournemouth.ac.uk/futurestudents/postgraduate/funding/business-school-deans-scholarships.html,University of Bournemouth Business School Dean’s Scholarships for Masters Students
http://www.dundee.ac.uk/cepmlp/postgraduatestudy/scholarships/,University of Dundee Rio Tinto Fully Funded Postgraduate Scholarships
http://www.ed.ac.uk/schools-departments/student-funding/postgraduate/international/region/masters-india,University of Edinburgh Principal’s Indian Masters Scholarships
http://www.ox.ac.uk/feesandfunding/prospectivegrad/scholarships/university/felix/,University of Oxford Felix Scholarships for Indian Students
http://www.sheffield.ac.uk/postgraduate/research/scholarships/vcindia,University of Sheffield Vice Chancellor’s Indian Scholarships
http://www.southampton.ac.uk/law/postgraduate/fees_and_funding.page?#scholarships,University of Southampton LLM International Scholarships
http://www2.warwick.ac.uk/fac/soc/law/pg/pgprogram/scholarships/funding_opps,University of Warwick Law School Postgraduate Taught Scholarships
http://www1.uwe.ac.uk/students/feesandfunding/fundingandscholarships/internationalstudentfunding/uweinternationalscholarships/undergraduatescholarships.aspx,UWE Undergraduate Excellence Scholarships
http://www.westminster.ac.uk/study/prospective-students/fees-and-funding/scholarships/january-2015/westminster-international-partnership-scholarships#collapseOne,Westminster International Partnership Scholarships
http://www.wit.ie/international/admissions/scholarships,WIT Indian ‘Wicket Scholarship’
http://www.usief.org.in/Fellowships/Fulbright-Nehru-Fellowships.aspx,Fulbright-Nehru Research Fellowships
https://www.gsb.stanford.edu/programs/mba/financial-aid/types/fellowships/stanford-reliance-dhirubhai-fellowship,Stanford Reliance Dhirubhai Fellowships for Indian students
